tag,generator_checkpoint,segmentation_mode,optimize_reprojection,evaluation_split,n_cases,fid,kid,watertight_rate,ssim_mean,ssim_std,ssim_ci95_low,ssim_ci95_high,ssim_n,psnr_mean,psnr_std,psnr_ci95_low,psnr_ci95_high,psnr_n,seg_dice_mean,seg_dice_std,seg_dice_ci95_low,seg_dice_ci95_high,seg_dice_n,seg_iou_mean,seg_iou_std,seg_iou_ci95_low,seg_iou_ci95_high,seg_iou_n,recon_dice_mean,recon_dice_std,recon_dice_ci95_low,recon_dice_ci95_high,recon_dice_n,recon_hausdorff_mean,recon_hausdorff_std,recon_hausdorff_ci95_low,recon_hausdorff_ci95_high,recon_hausdorff_n,recon_chamfer_mean,recon_chamfer_std,recon_chamfer_ci95_low,recon_chamfer_ci95_high,recon_chamfer_n,recon_error_px_mean,recon_error_px_std,recon_error_px_ci95_low,recon_error_px_ci95_high,recon_error_px_n,cup_radius_mm_mean,cup_radius_mm_std,cup_radius_mm_ci95_low,cup_radius_mm_ci95_high,cup_radius_mm_n,stem_length_mm_mean,stem_length_mm_std,stem_length_mm_ci95_low,stem_length_mm_ci95_high,stem_length_mm_n
d1_full_gan_eval_baseline,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/d1_baseline/best_model.pt,combined,True,test,91,390.55539477310236,0.34720006585121155,0.0,0.5606006481465625,0.06608453281084811,0.5467616294625186,0.5744396668306064,91,12.08218867487683,1.5603272497590477,11.755434485292945,12.408942864460716,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1_full_gan_eval_selected,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/d1_ssim_l20/best_model.pt,combined,True,test,91,418.0260642457009,0.4245089590549469,0.0,0.5982734729008825,0.06782035994331084,0.5840709479151873,0.6124759978865777,91,12.120519735542553,1.2303528654425817,11.86286676337791,12.378172707707195,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1_full_loss_baseline,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/d1_baseline/best_model.pt,combined,True,test,91,390.55539477310236,0.34720006585121155,0.0,0.5606006481465625,0.06608453281084811,0.5467616294625186,0.5744396668306064,91,12.08218867487683,1.5603272497590477,11.755434485292945,12.408942864460716,91,0.041770569904165084,0.09006726220296314,0.022909234710722044,0.06063190509760812,91.0,0.02382835208695919,0.0544889355126343,0.012417612469696953,0.03523909170422143,91.0,0.19004823302102858,0.22714345789424817,0.14220743217031886,0.2378890338717383,90.0,238.07678116545566,104.11093028486218,215.62443306280647,260.52912926810484,86.0,68.49805270306175,61.1756377813353,55.30504106528339,81.6910643408401,86.0,75.31248839335322,57.00886293592599,63.01807480900226,87.60690197770418,86.0,21.16087628715883,17.98278097980495,17.28274689855816,25.039005675759498,86.0,49.40532934327057,66.56414479112385,35.05024341793848,63.760415268602664,86.0
d1_full_loss_selected,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/d1_ssim_l20/best_model.pt,combined,True,test,91,418.0260642457009,0.4245089590549469,0.0,0.5982734729008825,0.06782035994331084,0.5840709479151873,0.6124759978865777,91,12.120519735542553,1.2303528654425817,11.86286676337791,12.378172707707195,91,0.051398909947291474,0.09882225224321205,0.030704158285695178,0.07209366160888778,91.0,0.029388889615522117,0.059559521107575515,0.016916298974991143,0.04186148025605309,91.0,0.2307314131995389,0.2614137380707195,0.1740111404520641,0.28745168594701376,85.0,247.89650858250494,118.63226254072234,221.6697318827245,274.12328528228534,82.0,92.87318825327482,102.3804722348577,70.23929654274643,115.5070799638032,82.0,98.7739264415045,97.04221849128605,77.32019589372356,120.22765698928544,82.0,26.543625288575402,18.674254137582107,22.21813625461018,30.869114322540625,75.0,61.40462357133721,121.99230387264647,34.435021506625745,88.37422563604868,82.0
d1_full_recon_no_reproj,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/d1_ssim_l20/best_model.pt,combined,False,test,91,418.0260642457009,0.4245089590549469,0.0,0.5982734729008825,0.06782035994331084,0.5840709479151873,0.6124759978865777,91,12.120519735542553,1.2303528654425817,11.86286676337791,12.378172707707195,91,0.051398909947291474,0.09882225224321205,0.030704158285695178,0.07209366160888778,91.0,0.029388889615522117,0.059559521107575515,0.016916298974991143,0.04186148025605309,91.0,0.3556146314803708,0.2802379620827779,0.29480997078869897,0.41641929217204265,85.0,131.4172548597806,70.74527094027977,116.06729240967734,146.76721730988385,85.0,18.339513071540722,20.976526490246922,13.788129075418968,22.890897067662475,85.0,34.75808024565587,23.02684747690668,29.761827642239453,39.754332849072284,85.0,26.543625288575402,18.674254137582107,22.21813625461018,30.869114322540625,75.0,61.40462357133721,121.99230387264647,34.435021506625745,88.37422563604868,82.0
d1_full_seg_classical,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/d1_ssim_l20/best_model.pt,classical,True,test,91,418.0260642457009,0.4245089590549469,0.0,0.5982734729008825,0.06782035994331084,0.5840709479151873,0.6124759978865777,91,12.120519735542553,1.2303528654425817,11.86286676337791,12.378172707707195,91,0.0678218910779772,0.09941649061438262,0.047002697651090025,0.08864108450486438,91.0,0.038170829038908394,0.05985306275939448,0.025636766700972893,0.05070489137684389,91.0,0.3942960333464657,0.23296274232720687,0.3455104006632443,0.44308166602968707,91.0,203.3937564063966,105.57362817487387,181.15791053425838,225.6296022785348,90.0,36.444767197752846,39.58741633174064,28.106892453402153,44.78264194210354,90.0,56.140201767723234,39.12603069161738,47.899503753572674,64.3808997818738,90.0,40.79417940103622,11.39691359953852,38.40750745926898,43.18085134280346,91.0,144.15944255431808,171.93597804172217,107.52092149564254,180.7979636129936,88.0
