fold,mode,checkpoint,evaluation_tag,cup_radius_mm,fid,kid,n_cases,psnr,recon_chamfer,recon_dice,recon_error_px,recon_hausdorff,seg_dice,seg_iou,ssim,stem_length_mm,watertight_count,watertight_rate
1,ssim,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_ssim_l20_fold01_ssim_l20/best_model.pt,cv5_ssim_l20_fold01_ssim_eval,32.0821414766676,398.69290012838746,0.36362993717193604,121.0,12.859193764103457,85.42411379505472,0.2796520340004721,97.86231551981106,210.73136758338748,0.06094407917021878,0.03341410469657479,0.6106518137191029,196.32269114958473,0.0,0.0
2,ssim,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_ssim_l20_fold02_ssim_l20/best_model.pt,cv5_ssim_l20_fold02_ssim_eval,29.94799245908656,449.03021271363514,0.45990973711013794,121.0,12.365666509086962,88.10590154610246,0.23411215139030722,99.51658451091195,225.27500416400002,0.050513390675377697,0.027920671885326254,0.5992416535420015,110.29722496613213,0.0,0.0
3,ssim,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_ssim_l20_fold03_ssim_l20/best_model.pt,cv5_ssim_l20_fold03_ssim_eval,29.248295478107288,426.44031157574113,0.4777347445487976,120.0,12.789879433712455,74.44630433129373,0.24604740595984184,86.42427489942196,221.28951486106828,0.045581804444931935,0.02521683039850948,0.5916047998098467,97.34807711598232,0.0,0.0
4,ssim,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_ssim_l20_fold04_ssim_l20/best_model.pt,cv5_ssim_l20_fold04_ssim_eval,26.73818414659498,409.6857598325679,0.4410735070705414,120.0,12.84765260884734,88.47865112426119,0.2369933729793751,93.95089187280932,215.7599739471701,0.0396265334524535,0.021912773572529718,0.6227152072273051,56.365060994031985,0.0,0.0
5,ssim,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_ssim_l20_fold05_ssim_l20/best_model.pt,cv5_ssim_l20_fold05_ssim_eval,30.646620423096326,406.74505531725725,0.4073261320590973,120.0,12.501591328022027,77.79582455966023,0.27545106976831596,91.93477293349324,221.84009302907774,0.053750915445069526,0.030042428165330162,0.5982328375587382,112.51402363060575,0.0,0.0
