fold,mode,checkpoint,evaluation_tag,cup_radius_mm,fid,kid,n_cases,psnr,recon_chamfer,recon_dice,recon_error_px,recon_hausdorff,seg_dice,seg_iou,ssim,stem_length_mm,watertight_count,watertight_rate
1,baseline,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_baseline_fold01_baseline/best_model.pt,cv5_baseline_fold01_baseline_eval,26.835971976447603,407.7696791363675,0.36064985394477844,121.0,12.425941033653132,63.910784867944145,0.2541870723569942,71.9288321376368,199.97338931833465,0.049615492223313726,0.02689676447055557,0.5715019480978835,46.314656023704565,0.0,0.0
2,baseline,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_baseline_fold02_baseline/best_model.pt,cv5_baseline_fold02_baseline_eval,25.19772098620891,392.72990207164344,0.35925987362861633,121.0,12.394158037479773,91.76287969041492,0.17473342709384215,97.60516954607148,232.2368140784757,0.041716869383394264,0.02324986261797368,0.5652298270803934,87.57534404435158,0.0,0.0
3,baseline,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_baseline_fold03_baseline/best_model.pt,cv5_baseline_fold03_baseline_eval,27.191710863682445,380.490650050024,0.35793930292129517,120.0,12.387518599767564,73.12668504280697,0.24322253969880356,83.2428774481959,210.6556369049569,0.0348656894275173,0.019186695060621598,0.5537775813753071,66.70661677245029,0.0,0.0
4,baseline,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_baseline_fold04_baseline/best_model.pt,cv5_baseline_fold04_baseline_eval,32.700736793993116,396.6495691212,0.4182007908821106,120.0,12.252695677382613,90.2502573249333,0.2886021123352502,100.6935451828851,216.97361993019038,0.048642483773650234,0.027181322263967852,0.5815161100581615,95.60871279313209,0.0,0.0
5,baseline,/Users/adityadahiya/Desktop/HWUD CW/Dissertation/models/pix2pix/cv5_baseline_fold05_baseline/best_model.pt,cv5_baseline_fold05_baseline_eval,30.728916742035835,379.57912920477986,0.3497891426086426,120.0,12.482019429679251,85.73388498206533,0.27416498167125775,100.76970742090917,224.1676635435031,0.05173479156331949,0.028823988828293422,0.5731211071685228,109.03252502201663,0.0,0.0
